question,ground_truth,source_url
stress工具有哪些增强版或者类似的替代工具？,文档中提到，`stress-ng`是`stress`的增强版。另外，`sysbench`也是一个可以用于测试CPU、内存和磁盘I/O性能的工具，尽管它主要用于数据库服务器的性能测试。,https://wiki.deepin.org/05_HOW-TO/02_开发相关/Linux系统压力测试工具
深度商店是什么？,深度商店V4.0是武汉深之度科技有限公司打造的一款集应用展示、下载、安装、评论、评分于一体的应用程序。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度商店.md
如何运行深度商店？,有两种方式：1. 点击任务栏上的启动器图标，找到深度商店图标并点击。 2. 点击任务栏上默认固定的深度商店图标。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度商店.md
如何关闭深度商店？,有三种方式：1. 在深度商店界面，点击 × 关闭图标。 2. 右键单击任务栏上的商店图标，选择“关闭所有”。 3. 在深度商店界面，点击菜单栏中的“退出”选项。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度商店.md
深度商店的主界面包含哪些部分？,深度商店主界面由导航栏、搜索框、首页轮播、首页栏目、专题应用、任务管理、菜单栏组成。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度商店.md
在深度商店中对应用进行评论或评分需要什么前提条件？,用户必须登录到深度商店才能对应用进行评论或评分。评论和评分必须同时提交才能成功，并且对当前版本应用的评论和评分只能进行一次。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/01_deepin开发的软件/深度商店.md
如何在deepin上安装MATLAB？,"""首先用高校EDU邮箱注册MathWorks账户获取许可证，然后下载Linux版本的安装包。在终端中使用unzip命令解压，然后执行./install命令启动安装程序，按照指引完成安装。",https://wiki.deepin.org/01_软件wiki/00_GUI软件/03_第三方开发的软件/04_教育科学相关/MATLAB.md
如何解决MATLAB字体渲染不正常的问题？,首先安装openjdk-8-jre，然后在全局环境变量文件/etc/profile中添加export MATLAB_JAVA=/usr/lib/jvm/java-8-openjdk-amd64/jre，最后重启电脑。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/03_第三方开发的软件/04_教育科学相关/MATLAB.md
在高分辨率屏幕上MATLAB文字显示太小怎么办？,打开MATLAB后，在命令行窗口执行s = settings;s.matlab.desktop.DisplayScaleFactor和s.matlab.desktop.DisplayScaleFactor.PersonalValue = 2这两条命令，然后重启MATLAB。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/03_第三方开发的软件/04_教育科学相关/MATLAB.md
如何为MATLAB创建桌面快捷方式？,在桌面上创建一个名为MATLAB.desktop的文本文档，将指定的配置内容粘贴进去，并把Exec路径中的“你的用户名”替换成自己的账户用户名后保存。,https://wiki.deepin.org/01_软件wiki/00_GUI软件/03_第三方开发的软件/04_教育科学相关/MATLAB.md
